lat,lon,time
15.285944,-61.376124,2014-04-02T12:51:32Z
15.285946,-61.376126,2014-04-02T12:51:42Z
15.285953,-61.376134,2014-04-02T12:51:52Z
15.285952,-61.376139,2014-04-02T12:52:02Z
15.285950,-61.376138,2014-04-02T12:52:12Z
15.285948,-61.376134,2014-04-02T12:52:22Z
15.285948,-61.376138,2014-04-02T12:52:32Z
15.285936,-61.376136,2014-04-02T12:52:42Z
15.285936,-61.376138,2014-04-02T12:52:52Z
15.285932,-61.376141,2014-04-02T12:53:02Z
15.285931,-61.376138,2014-04-02T12:53:12Z
15.285929,-61.376141,2014-04-02T12:53:22Z
15.285930,-61.376143,2014-04-02T12:53:32Z
15.285928,-61.376143,2014-04-02T12:53:42Z
15.285933,-61.376149,2014-04-02T12:53:52Z
15.285933,-61.376146,2014-04-02T12:54:02Z
15.285930,-61.376148,2014-04-02T12:54:12Z
15.285930,-61.376150,2014-04-02T12:54:22Z
15.285928,-61.376151,2014-04-02T12:54:24Z
15.285927,-61.376155,2014-04-02T12:54:34Z
15.285927,-61.376154,2014-04-02T12:54:44Z
15.285928,-61.376154,2014-04-02T12:54:54Z
15.285928,-61.376150,2014-04-02T12:55:04Z
15.285923,-61.376148,2014-04-02T12:55:14Z
15.285925,-61.376151,2014-04-02T12:55:24Z
15.285920,-61.376190,2014-04-02T12:55:34Z
15.285909,-61.376281,2014-04-02T12:55:44Z
15.285919,-61.376420,2014-04-02T12:55:54Z
15.285973,-61.376568,2014-04-02T12:56:04Z
15.286032,-61.376721,2014-04-02T12:56:14Z
15.286091,-61.376852,2014-04-02T12:56:24Z
15.286121,-61.376909,2014-04-02T12:56:34Z
15.286110,-61.376963,2014-04-02T12:56:44Z
15.286112,-61.376977,2014-04-02T12:56:54Z
15.286123,-61.376968,2014-04-02T12:57:04Z
15.286136,-61.377047,2014-04-02T12:57:14Z
15.286212,-61.377155,2014-04-02T12:57:24Z
15.286255,-61.377306,2014-04-02T12:57:34Z
15.286314,-61.377485,2014-04-02T12:57:44Z
15.286408,-61.377696,2014-04-02T12:57:54Z
15.286582,-61.377968,2014-04-02T12:58:04Z
15.286840,-61.378227,2014-04-02T12:58:14Z
15.287129,-61.378457,2014-04-02T12:58:24Z
15.287471,-61.378696,2014-04-02T12:58:34Z
15.287868,-61.379079,2014-04-02T12:58:44Z
15.288363,-61.379561,2014-04-02T12:58:54Z
15.288842,-61.380152,2014-04-02T12:59:04Z
15.289313,-61.380777,2014-04-02T12:59:14Z
15.289803,-61.381382,2014-04-02T12:59:24Z
15.290330,-61.381948,2014-04-02T12:59:34Z
15.290961,-61.382370,2014-04-02T12:59:44Z
15.291582,-61.382587,2014-04-02T12:59:54Z
15.292031,-61.382780,2014-04-02T13:00:04Z
15.292405,-61.382960,2014-04-02T13:00:14Z
15.292674,-61.383099,2014-04-02T13:00:24Z
15.292834,-61.383208,2014-04-02T13:00:34Z
15.292948,-61.383280,2014-04-02T13:00:44Z
15.293047,-61.383309,2014-04-02T13:00:54Z
15.293099,-61.383318,2014-04-02T13:01:04Z
15.293106,-61.383318,2014-04-02T13:01:14Z
15.293129,-61.383296,2014-04-02T13:01:24Z
15.293133,-61.383281,2014-04-02T13:01:34Z
15.293073,-61.383321,2014-04-02T13:01:44Z
15.293048,-61.383381,2014-04-02T13:01:54Z
15.293075,-61.383456,2014-04-02T13:02:04Z
15.293081,-61.383483,2014-04-02T13:02:14Z
15.293029,-61.383450,2014-04-02T13:02:24Z
15.293018,-61.383376,2014-04-02T13:02:34Z
15.293049,-61.383283,2014-04-02T13:02:44Z
15.293074,-61.383232,2014-04-02T13:02:54Z
15.293081,-61.383203,2014-04-02T13:03:04Z
15.293090,-61.383197,2014-04-02T13:03:14Z
15.293102,-61.383187,2014-04-02T13:03:24Z
15.293084,-61.383158,2014-04-02T13:03:34Z
15.293059,-61.383146,2014-04-02T13:03:44Z
15.293016,-61.383137,2014-04-02T13:03:54Z
15.292997,-61.383137,2014-04-02T13:04:04Z
15.293018,-61.383151,2014-04-02T13:04:14Z
