lat,lon,time
15.285757,-61.375786,2008-02-07T23:43:05Z
15.285750,-61.375791,2008-02-07T23:43:07Z
15.285872,-61.375663,2008-02-07T23:44:07Z
15.309833,-61.390598,2008-02-08T16:26:49Z
15.309816,-61.391527,2008-02-08T16:27:49Z
15.310207,-61.391021,2008-02-08T16:28:49Z
15.308894,-61.391434,2008-02-08T16:29:49Z
15.307725,-61.392490,2008-02-08T16:30:49Z
15.307501,-61.392993,2008-02-08T16:31:49Z
15.307349,-61.393399,2008-02-08T16:32:49Z
15.307302,-61.393678,2008-02-08T16:33:49Z
15.307245,-61.393864,2008-02-08T16:34:49Z
15.307203,-61.394034,2008-02-08T16:35:49Z
15.307116,-61.394234,2008-02-08T16:36:49Z
15.307006,-61.394358,2008-02-08T16:37:49Z
15.307011,-61.394551,2008-02-08T16:38:49Z
15.307605,-61.394498,2008-02-08T16:39:49Z
15.308867,-61.396137,2008-02-08T16:40:49Z
15.309862,-61.398553,2008-02-08T16:41:49Z
15.310977,-61.401052,2008-02-08T16:42:49Z
15.312417,-61.403601,2008-02-08T16:43:49Z
15.314006,-61.406701,2008-02-08T16:44:49Z
15.315605,-61.409961,2008-02-08T16:45:49Z
15.317318,-61.413202,2008-02-08T16:46:49Z
15.319240,-61.416270,2008-02-08T16:47:49Z
15.321339,-61.419240,2008-02-08T16:48:49Z
15.323592,-61.422032,2008-02-08T16:49:49Z
15.325988,-61.424749,2008-02-08T16:50:49Z
15.328677,-61.427197,2008-02-08T16:51:49Z
15.331082,-61.429861,2008-02-08T16:52:49Z
15.333866,-61.432167,2008-02-08T16:53:49Z
15.336098,-61.434798,2008-02-08T16:54:49Z
15.337465,-61.438084,2008-02-08T16:55:49Z
15.338854,-61.441395,2008-02-08T16:56:49Z
15.340328,-61.444675,2008-02-08T16:57:49Z
15.341464,-61.448051,2008-02-08T16:58:49Z
15.343963,-61.450344,2008-02-08T16:59:49Z
15.346879,-61.452082,2008-02-08T17:00:49Z
15.349613,-61.454218,2008-02-08T17:01:49Z
15.352542,-61.456011,2008-02-08T17:02:49Z
15.355341,-61.457989,2008-02-08T17:03:49Z
15.357802,-61.460360,2008-02-08T17:04:49Z
15.360004,-61.463042,2008-02-08T17:05:49Z
15.362495,-61.465429,2008-02-08T17:06:49Z
15.364133,-61.466528,2008-02-08T17:07:49Z
15.364735,-61.467159,2008-02-08T17:08:49Z
15.366656,-61.468254,2008-02-08T17:09:49Z
15.367811,-61.468925,2008-02-08T17:10:49Z
15.367964,-61.469534,2008-02-08T17:11:49Z
15.367706,-61.470012,2008-02-08T17:12:49Z
15.367407,-61.470366,2008-02-08T17:13:49Z
15.366923,-61.470825,2008-02-08T17:14:49Z
15.366571,-61.471064,2008-02-08T17:15:49Z
15.366309,-61.471269,2008-02-08T17:16:49Z
15.366059,-61.471499,2008-02-08T17:17:49Z
15.365349,-61.471748,2008-02-08T17:18:49Z
15.364994,-61.472267,2008-02-08T17:19:49Z
15.364170,-61.472694,2008-02-08T17:20:49Z
15.363583,-61.472611,2008-02-08T17:21:49Z
15.363117,-61.472611,2008-02-08T17:22:49Z
15.362722,-61.472472,2008-02-08T17:23:49Z
15.362519,-61.472705,2008-02-08T17:24:49Z
15.361072,-61.472898,2008-02-08T17:25:49Z
15.360060,-61.473620,2008-02-08T17:26:49Z
15.359685,-61.473869,2008-02-08T17:27:49Z
15.359293,-61.474205,2008-02-08T17:28:49Z
15.358994,-61.474446,2008-02-08T17:29:49Z
15.358786,-61.474667,2008-02-08T17:30:49Z
15.358609,-61.474869,2008-02-08T17:31:49Z
15.358416,-61.475062,2008-02-08T17:32:49Z
15.358066,-61.475257,2008-02-08T17:33:49Z
15.357687,-61.475385,2008-02-08T17:34:49Z
15.356727,-61.475508,2008-02-08T17:35:49Z
15.356264,-61.475777,2008-02-08T17:36:49Z
15.355943,-61.475955,2008-02-08T17:37:49Z
15.355689,-61.476123,2008-02-08T17:38:49Z
15.355496,-61.476297,2008-02-08T17:39:49Z
15.355216,-61.476385,2008-02-08T17:40:49Z
15.355042,-61.476545,2008-02-08T17:41:49Z
15.354830,-61.476653,2008-02-08T17:42:49Z
15.354615,-61.476797,2008-02-08T17:43:49Z
15.354410,-61.476956,2008-02-08T17:44:49Z
15.354198,-61.477142,2008-02-08T17:45:49Z
15.354007,-61.477313,2008-02-08T17:46:49Z
15.353818,-61.477487,2008-02-08T17:47:49Z
15.353643,-61.477703,2008-02-08T17:48:49Z
15.353448,-61.477849,2008-02-08T17:49:49Z
15.353223,-61.478066,2008-02-08T17:50:49Z
15.352899,-61.478641,2008-02-08T17:51:49Z
15.353389,-61.478524,2008-02-08T17:52:49Z
15.352799,-61.478023,2008-02-08T17:53:49Z
15.352409,-61.479096,2008-02-08T17:54:49Z
15.352237,-61.480403,2008-02-08T17:55:49Z
15.352096,-61.481366,2008-02-08T17:56:49Z
15.351091,-61.482102,2008-02-08T17:57:49Z
15.349995,-61.481289,2008-02-08T17:58:49Z
